Name	Description	Status  	Startup Type	Log On As
ActiveX Installer (AxInstSV)	Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings.		Manual	Local System
Agent Activation Runtime_71d2a	Runtime for activating conversational agent applications		Manual	Local System
AllJoyn Router Service	Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run.		Manual (Trigger Start)	Local Service
AMD External Events Utility		Running	Automatic	Local System
App Readiness	Gets apps ready for use the first time a user signs in to this PC and when adding new apps.		Manual	Local System
Application Identity	Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.		Manual (Trigger Start)	Local Service
Application Information	Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.	Running	Manual (Trigger Start)	Local System
Application Layer Gateway Service	Provides support for 3rd party protocol plug-ins for Internet Connection Sharing		Manual	Local Service
AppX Deployment Service (AppXSVC)	Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.	Running	Manual (Trigger Start)	Local System
AtherosSvc		Running	Automatic	Local System
Auto Time Zone Updater	Automatically sets the system time zone.		Disabled	Local Service
AVCTP service	This is Audio Video Control Transport Protocol service	Running	Manual (Trigger Start)	Local Service
Background Intelligent Transfer Service	Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.	Running	Automatic (Delayed Start)	Local System
Background Tasks Infrastructure Service	Windows infrastructure service that controls which background tasks can run on the system.	Running	Automatic	Local System
Base Filtering Engine	The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.	Running	Automatic	Local Service
BitLocker Drive Encryption Service	BDESVC hosts the BitLocker Drive Encryption service. BitLocker Drive Encryption provides secure startup for the operating system, as well as full volume encryption for OS, fixed or removable volumes. This service allows BitLocker to prompt users for various actions related to their volumes when mounted, and unlocks volumes automatically without user interaction. Additionally, it stores recovery information to Active Directory, if available, and, if necessary, ensures the most recent recovery certificates are used.  Stopping or disabling the service would prevent users from leveraging this functionality.		Manual (Trigger Start)	Local System
Block Level Backup Engine Service	The WBENGINE service is used by Windows Backup to perform backup and recovery operations. If this service is stopped by a user, it may cause the currently running backup or recovery operation to fail. Disabling this service may disable backup and recovery operations using Windows Backup on this computer.		Manual	Local System
Bluetooth Audio Gateway Service	Service supporting the audio gateway role of the Bluetooth Handsfree Profile.	Running	Manual (Trigger Start)	Local Service
Bluetooth Support Service	The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.	Running	Manual (Trigger Start)	Local Service
Bluetooth User Support Service_71d2a	The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session.		Manual (Trigger Start)	Local System
Capability Access Manager Service	Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities	Running	Manual	Local System
CaptureService_71d2a	Enables optional screen capture functionality for applications that call the Windows.Graphics.Capture API.		Manual	Local System
Cellular Time	This service sets time based on NITZ messages from a Mobile Network		Manual (Trigger Start)	Local Service
Certificate Propagation	Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.		Manual (Trigger Start)	Local System
Client License Service (ClipSVC)	Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using Windows Store will not behave correctly.		Manual (Trigger Start)	Local System
Clipboard User Service_71d2a	This user service is used for Clipboard scenarios	Running	Manual	Local System
CNG Key Isolation	The CNG key isolation service is hosted in the LSA process. The service provides key process isolation to private keys and associated cryptographic operations as required by the Common Criteria. The service stores and uses long-lived keys in a secure process complying with Common Criteria requirements.	Running	Manual (Trigger Start)	Local System
COM+ Event System	Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Automatic	Local Service
COM+ System Application	Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.		Manual	Local System
Connected Devices Platform Service	This service is used for Connected Devices Platform scenarios	Running	Automatic (Delayed Start, Trigger Start)	Local Service
Connected Devices Platform User Service_71d2a	This user service is used for Connected Devices Platform scenarios	Running	Automatic	Local System
Connected User Experiences and Telemetry	The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally, this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Windows Platform) when the diagnostics and usage privacy option settings are enabled under Feedback and Diagnostics.	Running	Automatic	Local System
ConsentUX_71d2a	Allows ConnectUX and PC Settings to Connect and Pair with WiFi displays and Bluetooth devices.		Manual	Local System
Contact Data_71d2a	Indexes contact data for fast contact searching. If you stop or disable this service, contacts might be missing from your search results.	Running	Manual	Local System
CoreMessaging	Manages communication between system components.	Running	Automatic	Local Service
Credential Manager	Provides secure storage and retrieval of credentials to users, applications and security service packages.	Running	Manual	Local System
CredentialEnrollmentManagerUserSvc_71d2a	Credential Enrollment Manager		Manual	Local System
Cryptographic Services	Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Automatic	Network Service
Data Sharing Service	Provides data brokering between applications.		Manual (Trigger Start)	Local System
Data Usage	Network data usage, data limit, restrict background data, metered networks.	Running	Automatic	Local Service
DCOM Server Process Launcher	The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.	Running	Automatic	Local System
Declared Configuration(DC) service	Process Declared Configuration documents recevied from MDM and other channels and perform configurations on device		Manual (Trigger Start)	Local System
Delivery Optimization	Performs content delivery optimization tasks	Running	Automatic (Delayed Start, Trigger Start)	Network Service
Device Association Service	Enables pairing between the system and wired or wireless devices.	Running	Automatic (Trigger Start)	Local System
Device Install Service	Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.		Manual (Trigger Start)	Local System
Device Management Enrollment Service	Performs Device Enrollment Activities for Device Management		Manual	Local System
Device Management Wireless Application Protocol (WAP) Push message Routing Service	Routes Wireless Application Protocol (WAP) Push messages received by the device and synchronizes Device Management sessions		Manual (Trigger Start)	Local System
Device Setup Manager	Enables the detection, download and installation of device-related software. If this service is disabled, devices may be configured with outdated software, and may not work correctly.		Manual (Trigger Start)	Local System
DeviceAssociationBroker_71d2a	Enables apps to pair devices		Manual	Local System
DevicePicker_71d2a	This user service is used for managing the Miracast, DLNA, and DIAL UI		Manual	Local System
DevicesFlow_71d2a	Allows ConnectUX and PC Settings to Connect and Pair with WiFi displays and Bluetooth devices.		Manual	Local System
DevQuery Background Discovery Broker	Enables apps to discover devices with a backgroud task		Manual (Trigger Start)	Local System
DHCP Client	Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Automatic	Local Service
Diagnostic Execution Service	Executes diagnostic actions for troubleshooting support		Manual (Trigger Start)	Local System
Diagnostic Policy Service	The Diagnostic Policy Service enables problem detection, troubleshooting and resolution for Windows components.  If this service is stopped, diagnostics will no longer function.	Running	Automatic	Local Service
Diagnostic Service Host	The Diagnostic Service Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local Service context.  If this service is stopped, any diagnostics that depend on it will no longer function.	Running	Manual	Local Service
Diagnostic System Host	The Diagnostic System Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local System context.  If this service is stopped, any diagnostics that depend on it will no longer function.	Running	Manual	Local System
Display Enhancement Service	A service for managing display enhancement such as brightness control.	Running	Manual (Trigger Start)	Local System
Display Policy Service	Manages the connection and configuration of local and remote displays	Running	Automatic (Delayed Start)	Local Service
Distributed Link Tracking Client	Maintains links between NTFS files within a computer or across computers in a network.	Running	Automatic	Local System
Distributed Transaction Coordinator	Coordinates transactions that span multiple resource managers, such as databases, message queues, and file systems. If this service is stopped, these transactions will fail. If this service is disabled, any services that explicitly depend on it will fail to start.		Manual	Network Service
DNS Client	The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped, DNS names will continue to be resolved. However, the results of DNS name queries will not be cached and the computer's name will not be registered. If the service is disabled, any services that explicitly depend on it will fail to start.	Running	Automatic (Trigger Start)	Network Service
Dolby DAX2 API Service	Dolby DAX2 API Service is used by Dolby DAX2 applications to control Dolby Audio components in the system.	Running	Automatic (Delayed Start)	Local System
Downloaded Maps Manager	Windows service for application access to downloaded maps. This service is started on-demand by application accessing downloaded maps. Disabling this service will prevent apps from accessing maps.		Automatic (Delayed Start)	Network Service
Embedded Mode	The Embedded Mode service enables scenarios related to Background Applications.  Disabling this service will prevent Background Applications from being activated.		Manual (Trigger Start)	Local System
Encrypting File System (EFS)	Provides the core file encryption technology used to store encrypted files on NTFS file system volumes. If this service is stopped or disabled, applications will be unable to access encrypted files.	Running	Manual (Trigger Start)	Local System
Enterprise App Management Service	Enables enterprise application management.		Manual	Local System
Extensible Authentication Protocol	The Extensible Authentication Protocol (EAP) service provides network authentication in such scenarios as 802.1x wired and wireless, VPN, and Network Access Protection (NAP).  EAP also provides application programming interfaces (APIs) that are used by network access clients, including wireless and VPN clients, during the authentication process.  If you disable this service, this computer is prevented from accessing networks that require EAP authentication.		Manual	Local System
Fax	Enables you to send and receive faxes, utilizing fax resources available on this computer or on the network.		Manual	Network Service
File History Service	Protects user files from accidental loss by copying them to a backup location		Manual (Trigger Start)	Local System
FileSyncHelper	Helper service for OneDrive		Manual (Trigger Start)	Local System
Function Discovery Provider Host	The FDPHOST service hosts the Function Discovery (FD) network discovery providers. These FD providers supply network discovery services for the Simple Services Discovery Protocol (SSDP) and Web Services – Discovery (WS-D) protocol. Stopping or disabling the FDPHOST service will disable network discovery for these protocols when using FD. When this service is unavailable, network services using FD and relying on these discovery protocols will be unable to find network devices or resources.	Running	Manual	Local Service
Function Discovery Resource Publication	Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped, network resources will no longer be published and they will not be discovered by other computers on the network.		Manual (Trigger Start)	Local Service
GameDVR and Broadcast User Service_71d2a	This user service is used for Game Recordings and Live Broadcasts		Manual	Local System
GameInput Service	Enables keyboards, mice, gamepads, and other input devices to be used with the GameInput API.		Manual (Trigger Start)	Local System
Geolocation Service	This service monitors the current location of the system and manages geofences (a geographical location with associated events).  If you turn off this service, applications will be unable to use or receive notifications for geolocation or geofences.	Running	Manual (Trigger Start)	Local System
Google Chrome Elevation Service (GoogleChromeElevationService)	Provides encryption services and a secure way for recovering Google Chrome if it gets out of date. If this service is disabled, Google Chrome may lose access to encrypted data, and Google Chrome may not be able recover itself.		Manual	Local System
Google Play Games Services (26.2.475.0)		Running	Automatic	Local System
Google Updater Internal Service (GoogleUpdaterInternalService144.0.7547.4)	Keeps your Google software up to date. If this service is disabled or stopped, your Google software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Google software using it.		Automatic	Local System
Google Updater Service (GoogleUpdaterService144.0.7547.4)	Keeps your Google software up to date. If this service is disabled or stopped, your Google software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Google software using it.		Automatic	Local System
GraphicsPerfSvc	Graphics performance monitor service		Manual (Trigger Start)	Local System
Group Policy Client	The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is disabled, the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or applications that depend on the Group Policy component might not be functional if the service is disabled.	Running	Automatic (Trigger Start)	Local System
HP Print Scan Doctor Service		Running	Automatic	Local System
Human Interface Device Service	Activates and maintains the use of hot buttons on keyboards, remote controls, and other multimedia devices. It is recommended that you keep this service running.		Manual (Trigger Start)	Local System
HV Host Service	Provides an interface for the Hyper-V hypervisor to provide per-partition performance counters to the host operating system.		Manual (Trigger Start)	Local System
Hyper-V Data Exchange Service	Provides a mechanism to exchange data between the virtual machine and the operating system running on the physical computer.		Manual (Trigger Start)	Local System
Hyper-V Guest Service Interface	Provides an interface for the Hyper-V host to interact with specific services running inside the virtual machine.		Manual (Trigger Start)	Local System
Hyper-V Guest Shutdown Service	Provides a mechanism to shut down the operating system of this virtual machine from the management interfaces on the physical computer.		Manual (Trigger Start)	Local System
Hyper-V Heartbeat Service	Monitors the state of this virtual machine by reporting a heartbeat at regular intervals. This service helps you identify running virtual machines that have stopped responding.		Manual (Trigger Start)	Local System
Hyper-V PowerShell Direct Service	Provides a mechanism to manage virtual machine with PowerShell via VM session without a virtual network.		Manual (Trigger Start)	Local System
Hyper-V Remote Desktop Virtualization Service	Provides a platform for communication between the virtual machine and the operating system running on the physical computer.		Manual (Trigger Start)	Local System
Hyper-V Time Synchronization Service	Synchronizes the system time of this virtual machine with the system time of the physical computer.		Manual (Trigger Start)	Local Service
Hyper-V Volume Shadow Copy Requestor	Coordinates the communications that are required to use Volume Shadow Copy Service to back up applications and data on this virtual machine from the operating system on the physical computer.		Manual (Trigger Start)	Local System
